fromId,toId,weight
,,
395013117,21626267,2287
2180143426,395013117,2245
2180143411,2180143426,8974
2180143406,2180143411,2300
2180143366,2180143406,20473
2180143354,2180143366,7710
1819562661,2180143354,23451
2180143328,1819562661,1942
1819562659,2180143328,2018
1819562656,1819562659,1378
26081952,1833106071,16736
929214918,26081952,2951
2189653755,25893992,5422
1592922675,2189653755,550
1592922638,1592922675,4347
1523173466,21596673,4312
2560317773,1523173466,7545
5579453967,2560317773,3057
6299518,5579453967,1328
5963966954,1495568829,7107
223638,5963966954,1572
1313236753,223638,1091
447028858,236936,6526
447028861,447028858,8870
1564191087,447028861,3819
4580318560,1591433227,620
1591433310,4580318560,1357
2316027410,1591433310,8018
5272419054,3367643370,11851
5272419081,5272419054,2777
5331776417,5272419081,6965
5272419051,5331776417,19700
3367643367,5272419051,1665
3050338088,3367643367,1330
1557104523,3050338088,6008
2485407305,1557104523,6959
206192126,2485407305,2417
2539785465,1892165071,2625
1307831389,2539785465,17476
1307270833,1307831389,2364
2539785466,1307270833,44666
25896372,2539785466,2681
162750134,25896559,5616
162750142,162750134,16107
2123573699,3604158,2089
409021589,2123573699,1735
1430476863,409021589,2529
316059890,1430476863,2224
5593270873,316059890,1434
1430476865,5593270873,1502
2171883355,251006357,894
2055594387,2171883355,9094
3080194676,2055594387,3357
3080194673,3080194676,833
3080194667,3080194673,3076
2255827572,3080194667,13064
251006356,2255827572,690
1082252714,1554312452,1907
3890055119,1082252714,3998
1059004040,3890055119,4494
3890055130,1059004040,5856
2941917861,3890055130,7335
858118880,1974902130,1684
2283466921,858118880,890
2283384170,2283466921,2192
2283466934,2283384170,787
2284368151,2283466934,1119
2283384178,2284368151,605
2283416271,2283384178,2439
2284368168,2283416271,1686
2283416285,2284368168,5138
2284368186,2283416285,1327
2283416296,2284368186,1352
2283416306,2283416296,2957
2283843590,2283416306,631
2283470186,2283843590,1996
1687120394,2283470186,757
2283441352,1687120394,2883
2284434148,2283441352,867
2283448841,2284434148,3029
2283466943,2283448841,2257
2283458185,2283466943,387
2283226737,2283458185,6939
2284498090,2283226737,272
1686864493,2284498090,4203
307408,1686864493,1070
1336143891,25899390,2012
427529736,1336143891,33249
427529761,427529736,18518
25899401,427529761,31593
497687106,25899401,4194
1342567166,497687106,3668
4043685271,1342567166,5382
25899403,4043685271,4353
4043685272,25899403,3568
25899405,4043685272,2207
1570984636,1570984595,1464
3982240589,332747,1684
3231869367,3982240589,10503
3231869362,3231869367,7385
424934134,3231869362,1849
3077729666,424934134,2014
1834626314,3077729666,2111
5862698324,1834626314,2181
3456900734,5862698324,13680
2396020494,1258407715,2907
1531189289,2396020494,5815
1960604065,1531189289,7737
